Wall time,Epoch,Undefended,KL,PSNR,MI,Entropy,,MN
1672084894,0,1.478792548,1.480640292,1.472003579,1.479181886,1.486327052,1.479225755,1.489225755
1672085273,1,1.108310342,1.110492945,1.095357418,1.104652762,1.105045199,1.106712699,1.116712699
1672085653,2,0.919359744,0.903567016,0.891025722,0.892270386,0.89805913,0.894540489,0.904540489
1672086032,3,0.806728542,0.765741467,0.756596804,0.765609086,0.769584358,0.762035131,0.772035131
1672086413,4,0.732121885,0.66863203,0.665961027,0.669674635,0.679402173,0.673866689,0.683866689
1672086796,5,0.679756641,0.602445006,0.594721794,0.596988499,0.604830623,0.598015845,0.608015845
1672087177,6,0.63793242,0.536455512,0.53407073,0.537315607,0.545401096,0.544818223,0.554818223
1672087559,7,0.595407784,0.493687153,0.48904708,0.48928538,0.50222683,0.491346329,0.501346329
1672087940,8,0.56616205,0.451709688,0.454093009,0.448827744,0.46157968,0.451869637,0.461869637
1672088320,9,0.535627723,0.422687292,0.415878356,0.417775542,0.427945614,0.316282481,0.326282481
1672088698,10,0.507032335,0.384413093,0.286537528,0.281241417,0.397661209,0.253303558,0.263303558
1672089076,11,0.393202186,0.361524224,0.223289594,0.223888099,0.369510263,0.216215327,0.226215327
1672089454,12,0.357459188,0.340467632,0.195022672,0.190424994,0.349539995,0.191499546,0.201499546
1672089831,13,0.333837569,0.318014085,0.136211783,0.172196388,0.325917184,0.13403821,0.14403821
1672090208,14,0.318974137,0.301194042,0.101687148,0.114491105,0.312543571,0.098730803,0.108730803
1672090585,15,0.255429029,0.196379915,0.084732614,0.085035779,0.294721186,0.082849398,0.092849398
1672090963,16,0.237209335,0.14473401,0.074937694,0.07078287,0.272630334,0.066109397,0.076109397
1672091344,17,0.222135216,0.130444691,0.053971045,0.0680518,0.176860332,0.047817115,0.057817115
1672091725,18,0.212617055,0.115146592,0.041046318,0.062639445,0.136951029,0.043111663,0.053111663
1672092101,19,0.204283908,0.076855823,0.037427746,0.044136371,0.118915901,0.039272387,0.049272387
1672092478,20,0.17396228,0.055380955,0.034340739,0.032173399,0.105164923,0.032553397,0.042553397
1672092856,21,0.164179042,0.04805211,0.025695445,0.028007301,0.099131487,0.027897028,0.037897028
1672093234,22,0.15605852,0.037258651,0.023645181,0.028301783,0.094198681,0.02376947,0.03376947
1672093612,23,0.147554547,0.026040718,0.022177121,0.02579185,0.087994315,0.020469354,0.030469354
1672093987,24,0.14983061,0.025726477,0.020540252,0.024489097,0.084142365,0.018130599,0.028130599
1672094365,25,0.142326638,0.020633547,0.019208511,0.021323178,0.05055045,0.017419305,0.027419305
1672094742,26,0.131679773,0.017393108,0.015642669,0.017535988,0.037966598,0.020564958,0.030564958
1672095119,27,0.125847161,0.014619287,0.016757691,0.014809334,0.036041975,0.017050488,0.027050488
1672095495,28,0.120889105,0.014677717,0.016373491,0.013200471,0.035278585,0.01759487,0.02759487
1672095871,29,0.114892326,0.012965902,0.014819042,0.012383886,0.023847697,0.016568648,0.026568648
1672096250,30,0.115508147,0.014718559,0.013394525,0.013315791,0.018047024,0.015383092,0.025383092
1672096626,31,0.113954365,0.013017539,0.015041971,0.010570657,0.017902086,0.015422282,0.025422282
1672097552,32,0.112848066,0.011133947,0.016380543,0.011127367,0.017191267,0.015306272,0.025306272
1672097931,33,0.109075628,0.011990529,0.014670607,0.010311211,0.01449932,0.013782546,0.023782546
1672098308,34,0.107088171,0.013221624,0.014734843,0.012066916,0.012839749,0.014802676,0.024802676
1672098684,35,0.103245504,0.01018945,0.015301545,0.010223672,0.010611766,0.015383322,0.025383322
1672099062,36,0.103225321,0.012329625,0.01607069,0.010439923,0.00934399,0.015269211,0.025269211
1672099441,37,0.099021114,0.011256591,0.013284176,0.010393403,0.00917199,0.012825061,0.022825061
1672099818,38,0.099454999,0.010595941,0.014236423,0.010050188,0.007391238,0.013424001,0.023424001
1672100197,39,0.099265881,0.010478399,0.013966947,0.010237788,0.009466783,0.013729446,0.023729446
1672100573,40,0.103171892,0.010448233,0.014567542,0.00994714,0.008997456,0.012857858,0.022857858
1672100952,41,0.09803503,0.010119135,0.013947229,0.009268362,0.007423829,0.013086042,0.023086042
1672101331,42,0.100735217,0.008354819,0.015034927,0.009517854,0.007641028,0.013433006,0.023433006
1672101707,43,0.10000746,0.010177954,0.014512806,0.009350496,0.008724267,0.013007953,0.023007953
1672102084,44,0.100152567,0.010696966,0.015241142,0.009159256,0.00704342,0.014152624,0.024152624
1672102461,45,0.097709104,0.011831609,0.015665455,0.010365679,0.008419009,0.011794675,0.021794675
1672102838,46,0.101849943,0.009712649,0.016709361,0.010631403,0.007452614,0.012236145,0.022236145
1672103214,47,0.100379363,0.011142584,0.013934128,0.010800332,0.008047789,0.011590402,0.021590402
1672103592,48,0.099556237,0.010396783,0.014822405,0.008824728,0.007038331,0.012108341,0.022108341
1672103969,49,0.098167278,0.010906316,0.015572699,0.009769035,0.00789967,0.013270019,0.023270019
1672104347,50,0.098250031,0.009324875,0.014163624,0.010665787,0.007953655,0.013933151,0.023933151
1672104724,51,0.096789442,0.009308727,0.01443791,0.009419313,0.007305573,0.013369516,0.023369516
1672105101,52,0.098188668,0.010835932,0.015685143,0.011312678,0.007496115,0.013984447,0.023984447
1672105478,53,0.096082404,0.009431344,0.013851161,0.008864494,0.00679863,0.013431655,0.023431655
1672105856,54,0.097031012,0.009528765,0.014295831,0.009688684,0.007466005,0.014773954,0.024773954
1672106236,55,0.096797347,0.010086693,0.012840377,0.008326334,0.008221877,0.013956276,0.023956276
1672106613,56,0.099269658,0.011107695,0.014180046,0.00932267,0.007124819,0.012695665,0.022695665
1672106990,57,0.099729769,0.010705058,0.012143004,0.009938704,0.007970697,0.012902107,0.022902107
1672107370,58,0.094454922,0.010001234,0.01431712,0.009044685,0.005782729,0.012077328,0.022077328
1672107749,59,0.09847831,0.009016518,0.013019046,0.011293232,0.007035217,0.012954591,0.022954591
1672108126,60,0.099593222,0.009379047,0.013755841,0.010444924,0.007152373,0.014490239,0.024490239
1672108501,61,0.098803751,0.009560238,0.014649366,0.009086916,0.008620528,0.013013416,0.023013416
1672108878,62,0.09838818,0.010849153,0.013366872,0.010469384,0.007198637,0.01313614,0.02313614
1672109255,63,0.098989919,0.010809376,0.016430693,0.009612726,0.007488999,0.012101694,0.022101694
1672109632,64,0.096462049,0.00971642,0.015200473,0.0092074,0.007921962,0.013319397,0.023319397
1672110010,65,0.098459788,0.011438889,0.015115437,0.00974724,0.007536394,0.012420445,0.022420445
1672110387,66,0.101365887,0.01031365,0.012529937,0.008741353,0.007806893,0.013389585,0.023389585
1672110765,67,0.099813387,0.009281961,0.014039336,0.009243471,0.007377487,0.01371029,0.02371029
1672111142,68,0.099926397,0.011070288,0.013505818,0.009915892,0.007447517,0.012808288,0.022808288
1672111519,69,0.097882152,0.009398808,0.014906968,0.011400145,0.007492281,0.015212184,0.025212184
1672111896,70,0.097655773,0.011830653,0.014484794,0.009848681,0.007555065,0.012577973,0.022577973
1672112272,71,0.101025626,0.010625547,0.015533774,0.009717007,0.008171504,0.015536414,0.025536414
1672112650,72,0.097352989,0.010487675,0.015661923,0.01073886,0.006669593,0.014201057,0.024201057
1672113025,73,0.099464759,0.00881238,0.015843861,0.010227764,0.008314208,0.012817092,0.022817092
1672113401,74,0.100506485,0.009935598,0.015278247,0.009660874,0.008539194,0.011841249,0.021841249
1672113778,75,0.100676663,0.008918689,0.01511092,0.009415552,0.007180824,0.012280877,0.022280877
1672114156,76,0.10102284,0.009327091,0.015419537,0.010759486,0.006691885,0.013912175,0.023912175
1672114531,77,0.097987331,0.010638031,0.015023045,0.009751935,0.007505491,0.013817398,0.023817398
1672114907,78,0.101050109,0.0106211,0.015583658,0.009445754,0.008707407,0.012620328,0.022620328
1672115287,79,0.099331103,0.010456776,0.01687902,0.00793915,0.00684048,0.013111445,0.023111445
1672115662,80,0.097639024,0.010495848,0.016032711,0.009647124,0.007780056,0.012198161,0.022198161
1672116040,81,0.098047853,0.01015303,0.013029884,0.008439844,0.007231265,0.012610221,0.022610221
1672116418,82,0.100802757,0.010774725,0.014624851,0.009843238,0.008013722,0.012776665,0.022776665
1672116795,83,0.098866336,0.009791789,0.013875542,0.008943033,0.006372595,0.012987853,0.022987853
1672117171,84,0.099422194,0.011323165,0.015603081,0.008331066,0.007833806,0.012621505,0.022621505
1672117549,85,0.098345615,0.009870646,0.013675037,0.010052102,0.00829054,0.014019181,0.024019181
1672117925,86,0.098702431,0.010225179,0.013932833,0.00894299,0.00660138,0.012432354,0.022432354
1672118302,87,0.101175949,0.010270285,0.015659306,0.007796733,0.007124051,0.013396478,0.023396478
1672118679,88,0.097171046,0.00963483,0.013321723,0.010325372,0.007912625,0.01286083,0.02286083
1672119055,89,0.101295605,0.011570086,0.015251234,0.010179026,0.008190902,0.011743512,0.021743512
1672119432,90,0.098984919,0.009865794,0.016449457,0.009794979,0.006582845,0.01517696,0.02517696
1672119811,91,0.09851823,0.010042539,0.01529214,0.008742546,0.006267177,0.013667244,0.023667244
1672120189,92,0.098862253,0.008590519,0.014376082,0.009049765,0.007624592,0.013844899,0.023844899
1672120567,93,0.095736146,0.011694395,0.013439859,0.008619904,0.008563071,0.012608654,0.022608654
1672120945,94,0.098623283,0.0106834,0.01393057,0.00943648,0.007382098,0.013726029,0.023726029
1672121322,95,0.098411404,0.009540299,0.013874703,0.010580358,0.006279781,0.013613747,0.023613747
1672121699,96,0.099269278,0.009298265,0.013699464,0.008806442,0.00667791,0.013422245,0.023422245
1672122077,97,0.099825956,0.010421179,0.016872114,0.01024381,0.006781349,0.01401343,0.02401343
1672122455,98,0.098763578,0.010379085,0.012472123,0.007670696,0.006566427,0.012511279,0.022511279
1672122832,99,0.096765243,0.010995034,0.01537022,0.010298835,0.006756551,0.013766076,0.023766076
1672123209,100,0.10146632,0.010516366,0.015619594,0.008992903,0.007470131,0.013339447,0.023339447
1672123586,101,0.099169649,0.011389249,0.014887179,0.010311653,0.007662771,0.013314507,0.023314507
1672123963,102,0.098185055,0.010236792,0.013821092,0.009735325,0.00771213,0.0128616,0.0228616
1672124340,103,0.097576022,0.008426035,0.014728062,0.010459685,0.007567843,0.012227731,0.022227731
1672124718,104,0.101199813,0.0102618,0.013853413,0.010086679,0.007474849,0.014186919,0.024186919
1672125094,105,0.097865753,0.010133084,0.016874379,0.009358689,0.008217918,0.013242465,0.023242465
1672125471,106,0.101080514,0.010604453,0.014504552,0.009972502,0.007470058,0.011281562,0.021281562
1672125848,107,0.098130636,0.01095418,0.013363645,0.009785317,0.007006122,0.012649372,0.022649372
1672126225,108,0.095365144,0.010846332,0.016242299,0.010959303,0.006940044,0.012884709,0.022884709
1672126603,109,0.098306715,0.010099716,0.015099376,0.010030868,0.007353392,0.012559467,0.022559467
1672126982,110,0.099663161,0.009680034,0.014814291,0.008809939,0.00819574,0.010767044,0.020767044
1672127362,111,0.098769307,0.010518951,0.015342685,0.008969354,0.007865216,0.012568644,0.022568644
1672127739,112,0.099634402,0.00927074,0.012801139,0.010521519,0.008384622,0.015206525,0.025206525
1672128117,113,0.0977128,0.01046779,0.0143115,0.00964209,0.006467003,0.012958298,0.022958298
1672128495,114,0.096883595,0.010508152,0.015407464,0.010560434,0.007505179,0.012924374,0.022924374
1672128874,115,0.096694738,0.010275781,0.012980328,0.011343159,0.007133872,0.013382905,0.023382905
1672129252,116,0.099981092,0.011377033,0.014228379,0.01041463,0.006124677,0.014387808,0.024387808
1672129628,117,0.099014245,0.010636426,0.013987695,0.00933608,0.00597889,0.013697266,0.023697266
1672130007,118,0.100726321,0.010015949,0.013913394,0.009810692,0.005884426,0.01417127,0.02417127
1672130387,119,0.098383181,0.009465218,0.013438443,0.010126882,0.01004745,0.013940861,0.023940861
1672130766,120,0.096105628,0.009359229,0.01373757,0.00930833,0.007870939,0.011291629,0.021291629
1672131145,121,0.097815037,0.008428417,0.014567138,0.007891471,0.008826881,0.014905908,0.024905908
1672131524,122,0.098030321,0.011363279,0.015468135,0.010614752,0.009902924,0.013697932,0.023697932
1672131902,123,0.099958479,0.010040266,0.014826754,0.00888963,0.007489268,0.013500905,0.023500905
1672132281,124,0.099034749,0.010870835,0.014336873,0.010535183,0.008034362,0.013833483,0.023833483
1672132659,125,0.100866199,0.011168125,0.013823869,0.008485888,0.00728698,0.014034706,0.024034706
1672133037,126,0.099006563,0.010584796,0.014841008,0.009596396,0.00686353,0.013122467,0.023122467
1672133415,127,0.098001286,0.010708687,0.01519221,0.008649838,0.007651093,0.012794285,0.022794285
1672133792,128,0.097772337,0.010861571,0.013973064,0.009475036,0.007221076,0.014023372,0.024023372
1672134170,129,0.097135343,0.012095803,0.014986197,0.011507942,0.006801982,0.013937491,0.023937491
1672134547,130,0.097531356,0.011214904,0.016246164,0.010671068,0.00710307,0.013508154,0.023508154
1672134927,131,0.100330651,0.01014514,0.015604606,0.009914087,0.007304512,0.014048718,0.024048718
1672135306,132,0.100355096,0.01063979,0.013213986,0.008743291,0.00724721,0.013037083,0.023037083
1672135685,133,0.099893905,0.010426996,0.014381542,0.009840174,0.006611064,0.011948935,0.021948935
1672136064,134,0.097737625,0.010783941,0.014548828,0.009663182,0.009119457,0.013123792,0.023123792
1672136442,135,0.094752334,0.01117586,0.013894823,0.007553544,0.007840111,0.013214202,0.023214202
1672136819,136,0.096636288,0.00959432,0.014331841,0.00901126,0.008262504,0.013365773,0.023365773
1672137197,137,0.100966007,0.010706269,0.014079145,0.009184936,0.007444141,0.011761992,0.021761992
1672137575,138,0.098378591,0.010675612,0.013614939,0.009624094,0.008209988,0.011471605,0.021471605
1672137953,139,0.100190215,0.011304173,0.014304888,0.009826995,0.006491352,0.011682091,0.021682091
1672138331,140,0.100221142,0.011334538,0.014079013,0.010867863,0.007574138,0.010880617,0.020880617
1672138710,141,0.098150246,0.010703492,0.014718009,0.009738072,0.00627137,0.013838042,0.023838042
1672139088,142,0.098461181,0.010637127,0.01446131,0.010202856,0.007430693,0.011977227,0.021977227
1672139466,143,0.097778596,0.008819409,0.012745823,0.009344489,0.007539731,0.011467711,0.021467711
1672139842,144,0.099451698,0.010448216,0.016195742,0.00982489,0.008337445,0.014217709,0.024217709
1672140220,145,0.097352833,0.010379096,0.015307845,0.009428279,0.007631621,0.014515845,0.024515845
1672140599,146,0.099349529,0.011264242,0.016341656,0.01033021,0.007713711,0.012660879,0.022660879
1672140976,147,0.099924915,0.010762309,0.01490086,0.009479374,0.008391317,0.013405749,0.023405749
1672141354,148,0.097717419,0.011383469,0.014929106,0.010131959,0.009148299,0.012914688,0.022914688
1672141733,149,0.101072297,0.009589392,0.014502552,0.009352458,0.007268297,0.013030116,0.023030116
1672142112,150,0.099065758,0.009642377,0.014471657,0.008996555,0.008089155,0.012929705,0.022929705
1672142489,151,0.098932929,0.008260508,0.013395932,0.009768366,0.007123796,0.013250195,0.023250195
1672142868,152,0.097093411,0.010160431,0.01542657,0.011149394,0.006449547,0.012394611,0.022394611
1672143245,153,0.09867581,0.009778048,0.014177479,0.008993213,0.007256185,0.013237908,0.023237908
1672143623,154,0.097307272,0.00982541,0.014521538,0.010179794,0.006646864,0.013527204,0.023527204
1672144000,155,0.098357327,0.009743905,0.014586305,0.009337847,0.006497233,0.013174805,0.023174805
1672144379,156,0.097193249,0.010324921,0.013060607,0.010215797,0.006510462,0.013007394,0.023007394
1672144757,157,0.101002909,0.010502144,0.016316582,0.009515242,0.007613659,0.014034715,0.024034715
1672145137,158,0.098732099,0.011034464,0.014509549,0.009404569,0.006879018,0.013170701,0.023170701
1672145515,159,0.097689368,0.008660123,0.016784381,0.009132116,0.006980093,0.012860668,0.022860668
1672145891,160,0.100263231,0.009997863,0.014875132,0.011231222,0.007908688,0.013797272,0.023797272
1672146269,161,0.09325178,0.009797051,0.014921413,0.009978445,0.00625522,0.01145625,0.02145625
1672146648,162,0.10090676,0.010587804,0.016650271,0.009823835,0.007733359,0.013318892,0.023318892
1672147025,163,0.097359098,0.010478938,0.013588113,0.008818184,0.008323156,0.01473136,0.02473136
1672147402,164,0.09838219,0.009838056,0.014989245,0.010691819,0.007260021,0.013623387,0.023623387
1672147781,165,0.100218259,0.008785485,0.013149962,0.009230537,0.007384826,0.013434468,0.023434468
1672148159,166,0.095483221,0.009412548,0.013131261,0.009918069,0.008412016,0.012564903,0.022564903
1672148536,167,0.100810446,0.010977793,0.015997985,0.009861846,0.007573685,0.013562527,0.023562527
1672148913,168,0.102959447,0.010163425,0.015482374,0.01046543,0.008037195,0.013650408,0.023650408
1672149291,169,0.098502375,0.011648889,0.014004153,0.008567698,0.007554118,0.011733081,0.021733081
1672149668,170,0.097468995,0.009803592,0.015372527,0.010056401,0.007472903,0.01176226,0.02176226
1672150046,171,0.097787961,0.011302073,0.014839379,0.009079115,0.007530869,0.012832871,0.022832871
1672150424,172,0.098672464,0.011188665,0.013375472,0.009865037,0.007804052,0.012784052,0.022784052
1672150803,173,0.09809655,0.01041993,0.014421413,0.009771628,0.008721499,0.0145424,0.0245424
1672151181,174,0.099806212,0.010296925,0.014425359,0.008749159,0.007268102,0.012905718,0.022905718
1672151560,175,0.09856455,0.012127111,0.014675831,0.010473277,0.007553081,0.012897342,0.022897342
1672151938,176,0.098805889,0.010782664,0.014298331,0.008533319,0.007752172,0.011523814,0.021523814
1672152317,177,0.099473938,0.010691276,0.014550261,0.008921188,0.008296617,0.012512733,0.022512733
1672152695,178,0.100130536,0.010000703,0.01592955,0.009998198,0.006642466,0.012108076,0.022108076
1672153074,179,0.099742852,0.009204795,0.014970523,0.010021715,0.00791123,0.011239623,0.021239623
1672153452,180,0.100517653,0.010696543,0.014580048,0.008873318,0.008138587,0.011893954,0.021893954
1672153831,181,0.101138838,0.011617267,0.013991155,0.009650798,0.008273471,0.013766991,0.023766991
1672154208,182,0.096177675,0.010866178,0.01655001,0.009907809,0.007579993,0.01262486,0.02262486
1672154587,183,0.094707131,0.009926944,0.015511317,0.010047963,0.007841299,0.014668874,0.024668874
1672154967,184,0.101551257,0.011329986,0.01517925,0.008977058,0.00786726,0.013308866,0.023308866
1672155344,185,0.096528016,0.011685627,0.013317798,0.008632884,0.00660878,0.012830266,0.022830266
1672155722,186,0.100829847,0.0094106,0.01713175,0.01066149,0.00744679,0.011876552,0.021876552
1672156099,187,0.098473787,0.008626311,0.014224326,0.009791562,0.007981677,0.012204356,0.022204356
1672156476,188,0.099905372,0.010240857,0.017037371,0.008623055,0.007243861,0.01323788,0.02323788
1672156852,189,0.101341046,0.011203058,0.014001297,0.008362974,0.006416744,0.011618997,0.021618997
1672157231,190,0.099481612,0.009380084,0.016701326,0.010868506,0.007721167,0.01420409,0.02420409
1672157608,191,0.098634362,0.009018707,0.014358493,0.009643607,0.009706197,0.012554588,0.022554588
1672157986,192,0.098700285,0.011074526,0.014836083,0.010237594,0.006498906,0.012928489,0.022928489
1672158364,193,0.100096092,0.010004397,0.016208874,0.010080655,0.007175907,0.013916318,0.023916318
1672158742,194,0.100919724,0.011114126,0.014512212,0.009690084,0.007281662,0.0137372,0.0237372
1672159120,195,0.097751155,0.009842329,0.012679815,0.008652039,0.006833616,0.011878594,0.021878594
1672159498,196,0.100299768,0.010882567,0.013209094,0.009494375,0.006903248,0.01375213,0.02375213
1672159876,197,0.099253327,0.010836192,0.014009287,0.010442622,0.008012963,0.014472577,0.024472577
1672160254,198,0.09768682,0.009956874,0.013058651,0.009731573,0.007164561,0.014202939,0.024202939
1672160630,199,0.100890294,0.009439895,0.013285547,0.010173465,0.007538238,0.014305885,0.024305885
1672161008,200,0.098143049,0.011874599,0.014506294,0.01026922,0.008587845,0.013587184,0.023587184
1672161387,201,0.097800322,0.01042847,0.013794228,0.0094822,0.006845748,0.013110764,0.023110764
1672161764,202,0.10027457,0.010031681,0.014811372,0.00929877,0.006699026,0.014140966,0.024140966
1672162141,203,0.098233923,0.009677337,0.013865651,0.009407696,0.006652432,0.012344762,0.022344762
1672162520,204,0.103215754,0.009513532,0.015331397,0.008673419,0.006621689,0.013545456,0.023545456
1672162897,205,0.098412618,0.011346777,0.015671419,0.010148466,0.008091477,0.013223559,0.023223559
1672163275,206,0.099735662,0.010427937,0.013622366,0.009793755,0.007502294,0.011966669,0.021966669
1672163653,207,0.096667245,0.010087953,0.014470262,0.008740322,0.008646551,0.01299808,0.02299808
1672164031,208,0.098069288,0.009443817,0.014204278,0.008803356,0.007641459,0.012125815,0.022125815
1672164408,209,0.096817903,0.009995714,0.013846136,0.008081409,0.008779461,0.01235169,0.02235169
1672164785,210,0.098284803,0.009319103,0.012975038,0.010294854,0.007510202,0.012608337,0.022608337
1672165162,211,0.097479552,0.010316922,0.014692669,0.008980137,0.006816254,0.013608616,0.023608616
1672165541,212,0.096791327,0.009987529,0.015108809,0.009130247,0.00756074,0.012513064,0.022513064
1672165918,213,0.099915169,0.010543737,0.014575719,0.009723705,0.007463135,0.013006382,0.023006382
1672166295,214,0.099464118,0.011238016,0.014923008,0.010169835,0.008172769,0.013306745,0.023306745
1672166673,215,0.101858564,0.009700312,0.014111278,0.009360504,0.007113798,0.013463766,0.023463766
1672167051,216,0.100143582,0.010686719,0.013457864,0.009372669,0.007167717,0.013795388,0.023795388
1672167429,217,0.097016916,0.010329358,0.014609018,0.010337617,0.008146496,0.012868712,0.022868712
1672167807,218,0.097998701,0.011169637,0.014537306,0.008698329,0.006935692,0.013765336,0.023765336
1672168185,219,0.098644286,0.010850465,0.015001955,0.008634383,0.007838101,0.013808732,0.023808732
1672168562,220,0.101043567,0.009696795,0.015413648,0.009355377,0.007991346,0.01311733,0.02311733
1672168939,221,0.098227687,0.009464645,0.015154065,0.009853916,0.007502691,0.014057355,0.024057355
1672169318,222,0.095702559,0.009524899,0.014965057,0.009749127,0.008373168,0.013135469,0.023135469
1672169693,223,0.095453158,0.008115182,0.014809174,0.01036949,0.008475508,0.013218543,0.023218543
1672170071,224,0.101529241,0.010099479,0.01399979,0.008727913,0.008072807,0.012861711,0.022861711
1672170448,225,0.096572764,0.011598856,0.014854514,0.009172659,0.007086997,0.014145432,0.024145432
1672170824,226,0.095571376,0.010722233,0.014397344,0.010645077,0.007593862,0.012330466,0.022330466
1672171203,227,0.097504169,0.011075947,0.015076804,0.009566729,0.006317394,0.012022829,0.022022829
1672171578,228,0.101737119,0.010055654,0.016394146,0.011122109,0.007501505,0.013773421,0.023773421
1672171957,229,0.096553408,0.010543239,0.014617291,0.010026442,0.006482831,0.011621478,0.021621478
1672172334,230,0.099015653,0.011217845,0.014949325,0.00991398,0.00666338,0.011909162,0.021909162
1672172710,231,0.102219827,0.009339626,0.013611858,0.010040762,0.006876798,0.012573141,0.022573141
1672173087,232,0.097261846,0.011867367,0.012791618,0.00939473,0.008033714,0.013542001,0.023542001
1672173464,233,0.09578573,0.010020426,0.015865359,0.010221219,0.008953488,0.013603516,0.023603516
1672173840,234,0.097399704,0.010107356,0.015689008,0.009356295,0.009084122,0.011856909,0.021856909
1672174218,235,0.09771958,0.009675883,0.014246644,0.010761493,0.007051224,0.013336776,0.023336776
1672174595,236,0.09706407,0.009298758,0.015604121,0.009507812,0.007881093,0.014884398,0.024884398
1672174973,237,0.100832395,0.011694739,0.01564673,0.007896302,0.008189836,0.012977836,0.022977836
1672175350,238,0.098322697,0.010333806,0.015282482,0.007967851,0.008546159,0.01494009,0.02494009
1672175728,239,0.098164007,0.009711104,0.014649852,0.010975058,0.00774943,0.011932105,0.021932105
1672176107,240,0.098578349,0.010286054,0.015081759,0.010380805,0.007025295,0.013747368,0.023747368
1672176485,241,0.10115917,0.009436676,0.013678953,0.009447935,0.007307506,0.012390256,0.022390256
1672176863,242,0.095430285,0.009894702,0.014553142,0.009374995,0.00644284,0.013126457,0.023126457
1672177241,243,0.094586223,0.010603473,0.014143514,0.010570197,0.007745712,0.011623228,0.021623228
1672177617,244,0.096138768,0.010239527,0.015796462,0.008944076,0.007578358,0.014786953,0.024786953
1672177994,245,0.0991209,0.009137134,0.014942029,0.010534901,0.008582126,0.012546762,0.022546762
1672178370,246,0.09620668,0.011209673,0.014044886,0.009336751,0.009493471,0.012095166,0.022095166
1672178748,247,0.097182557,0.010489285,0.014905185,0.010540996,0.007637745,0.012443013,0.022443013
1672179125,248,0.100724816,0.010800516,0.01366735,0.011440556,0.008229847,0.012350404,0.022350404
1672179500,249,0.095657587,0.010035315,0.014037944,0.008806408,0.00760181,0.0130959,0.0230959
1672179876,250,0.101757623,0.010040386,0.0147915,0.008739074,0.007218605,0.011921922,0.021921922
1672180254,251,0.098310724,0.009167614,0.015146274,0.009485263,0.007725263,0.013828562,0.023828562
1672180630,252,0.0974975,0.009280668,0.014904026,0.010035238,0.007492134,0.013132041,0.023132041
1672181008,253,0.100025862,0.010677633,0.014435487,0.010868076,0.008705501,0.014121546,0.024121546
1672181384,254,0.100856058,0.009944477,0.01378846,0.011309588,0.007682182,0.01320398,0.02320398
1672181762,255,0.100933574,0.00961327,0.014416205,0.009564859,0.007300331,0.012541769,0.022541769
1672182138,256,0.097752079,0.010606536,0.013415862,0.009290191,0.006466702,0.013780067,0.023780067
1672182516,257,0.098028928,0.01045361,0.013930619,0.010456947,0.008432969,0.013204804,0.023204804
1672182893,258,0.101172492,0.009822616,0.012920981,0.009402248,0.007291021,0.013065574,0.023065574
1672183269,259,0.097888544,0.011180455,0.016001329,0.008987548,0.008456047,0.01435507,0.02435507
1672183646,260,0.100400455,0.008945387,0.014235019,0.009834155,0.007486878,0.014212422,0.024212422
1672184022,261,0.095938772,0.010461977,0.014648833,0.009077101,0.008053347,0.01438788,0.02438788
1672184398,262,0.097094759,0.010012078,0.014397501,0.010480518,0.00612981,0.013752989,0.023752989
1672184776,263,0.097341999,0.011778158,0.014680251,0.010484125,0.007983003,0.013503478,0.023503478
1672185154,264,0.097185373,0.010601362,0.013835459,0.010333009,0.007317687,0.013876686,0.023876686
1672185533,265,0.097575255,0.012508883,0.014326365,0.007562853,0.007217924,0.012892267,0.022892267
1672185911,266,0.100297771,0.009231122,0.013364841,0.009645355,0.008250928,0.013141326,0.023141326
1672186289,267,0.098712839,0.010241553,0.014840843,0.01076346,0.008239898,0.014000836,0.024000836
1672186665,268,0.098601215,0.010657378,0.013887961,0.009244071,0.007744364,0.013425063,0.023425063
