Wall time,Epoch,Undefended,KL,PSNR,MI,Entropy,,MN
1672084894,0,0.496560007,0.492900014,0.490720004,0.491719991,0.490999997,0.492419988,0.392419988
1672085273,1,0.636300027,0.637239993,0.640799999,0.638119996,0.637780011,0.636979997,0.536979997
1672085653,2,0.704620004,0.708720028,0.713100016,0.715279996,0.712239981,0.713819981,0.613819981
1672086032,3,0.74375999,0.754620016,0.756860018,0.758539975,0.753560007,0.757679999,0.657679999
1672086413,4,0.768119991,0.785099983,0.788039982,0.786939979,0.784759998,0.786880016,0.686880016
1672086796,5,0.785860002,0.808120012,0.808920026,0.809660017,0.806659997,0.80963999,0.70963999
1672087177,6,0.799120009,0.82889998,0.828480005,0.828980029,0.827560008,0.827459991,0.727459991
1672087559,7,0.814199984,0.842379987,0.844280005,0.845319986,0.840579987,0.843720019,0.743720019
1672087940,8,0.821380019,0.854680002,0.854139984,0.856140018,0.853060007,0.855199993,0.755199993
1672088320,9,0.833620012,0.864880025,0.867079973,0.866840005,0.862640023,0.89854002,0.79854002
1672088698,10,0.840420008,0.87650001,0.906819999,0.909979999,0.872340024,0.91952002,0.81952002
1672089076,11,0.874859989,0.883599997,0.927240014,0.928260028,0.881079972,0.930800021,0.830800021
1672089454,12,0.88568002,0.890179992,0.936619997,0.938899994,0.88854003,0.938059986,0.838059986
1672089831,13,0.895020008,0.896799982,0.956200004,0.945100009,0.895579994,0.957599998,0.857599998
1672090208,14,0.899619997,0.902880013,0.968060017,0.962960005,0.90072,0.968699992,0.868699992
1672090585,15,0.919200003,0.93690002,0.973219991,0.973219991,0.906679988,0.975199997,0.875199997
1672090963,16,0.923879981,0.953779995,0.976979971,0.97803998,0.912419975,0.981019974,0.881019974
1672091344,17,0.929560006,0.958920002,0.98398,0.978860021,0.943159997,0.986140013,0.886140013
1672091725,18,0.932539999,0.964119971,0.987999976,0.980759978,0.956719995,0.987500012,0.887500012
1672092101,19,0.935339987,0.975799978,0.989239991,0.986959994,0.962779999,0.988699973,0.888699973
1672092478,20,0.944920003,0.982980013,0.989899993,0.991140008,0.966400027,0.990999997,0.890999997
1672092856,21,0.947040021,0.984719992,0.993659973,0.992720008,0.968760014,0.993179977,0.893179977
1672093234,22,0.95104003,0.98931998,0.993399978,0.99217999,0.970539987,0.993600011,0.893600011
1672093612,23,0.952799976,0.992560029,0.994140029,0.993300021,0.972880006,0.994539976,0.894539976
1672093987,24,0.952960014,0.993359983,0.994840026,0.993160009,0.973680019,0.995199978,0.895199978
1672094365,25,0.954940021,0.994260013,0.994979978,0.994180024,0.984759986,0.995500028,0.895500028
1672094742,26,0.958299994,0.995540023,0.995980024,0.995720029,0.988799989,0.995060027,0.895060027
1672095119,27,0.960799992,0.996259987,0.995859981,0.99624002,0.989560008,0.995459974,0.895459974
1672095495,28,0.962660015,0.995840013,0.995779991,0.996940017,0.989539981,0.99555999,0.89555999
1672095871,29,0.964640021,0.996619999,0.996259987,0.996680021,0.993219972,0.995920002,0.895920002
