Epoch,Inception(Undefended),Inception(Defense=MI)
0,1672084894,1675801450
1,1672085273,1675802677
2,1672085653,1675803905
3,1672086032,1675805133
4,1672086413,1675806371
5,1672086796,1675807604
6,1672087177,1675808833
7,1672087559,1675810061
8,1672087940,1675811289
9,1672088320,1675812516
10,1672088698,1675813746
11,1672089076,1675814971
12,1672089454,1675816193
13,1672089831,1675817412
14,1672090208,1675818636
15,1672090585,1675819857
16,1672090963,1675821074
17,1672091344,1675822302
18,1672091725,1675823527
19,1672092101,1675824760
20,1672092478,1675825989
21,1672092856,1675827210
22,1672093234,1675828433
23,1672093612,1675829665
24,1672093987,1675830891
25,1672094365,1675832110
26,1672094742,1675833328
27,1672095119,1675834558
28,1672095495,1675835789
29,1672095871,1675837016
30,1672096250,1675838240
31,1672096626,1675839467
32,1672097552,1675840692
33,1672097931,1675841925
34,1672098308,1675843145
35,1672098684,1675844373
36,1672099062,1675845596
37,1672099441,1675846819
38,1672099818,1675848051
39,1672100197,1675849273
40,1672100573,1675850491
41,1672100952,1675851709
42,1672101331,1675852928
43,1672101707,1675854155
44,1672102084,1675855386
45,1672102461,1675856606
46,1672102838,1675857830
47,1672103214,1675859055
48,1672103592,1675860279
49,1672103969,1675861506
50,1672104347,1675862727
51,1672104724,1675863945
52,1672105101,1675865166
53,1672105478,1675866386
54,1672105856,1675867607
55,1672106236,1675868831
56,1672106613,1675870059
57,1672106990,1675871282
58,1672107370,1675872509
59,1672107749,1675873730
60,1672108126,1675874949
61,1672108501,1675876171
62,1672108878,1675877394
63,1672109255,1675878615
64,1672109632,1675879833
65,1672110010,1675881067
66,1672110387,1675882286
67,1672110765,1675883511
68,1672111142,1675884725
69,1672111519,1675885941
70,1672111896,1675887157
71,1672112272,1675888376
72,1672112650,1675889598
73,1672113025,1675890823
74,1672113401,1675892044
75,1672113778,1675893259
76,1672114156,1675894475
77,1672114531,1675895701
78,1672114907,1675896920
79,1672115287,1675898144
80,1672115662,1675899369
81,1672116040,1675900600
82,1672116418,1675901825
83,1672116795,1675903049
84,1672117171,1675904271
85,1672117549,1675905496
86,1672117925,1675906721
87,1672118302,1675907944
88,1672118679,1675909167
89,1672119055,1675910392
90,1672119432,1675911616
91,1672119811,1675912842
92,1672120189,1675914071
93,1672120567,1675915294
94,1672120945,1675916517
95,1672121322,1675917740
96,1672121699,1675918963
97,1672122077,1675920186
98,1672122455,1675921411
99,1672122832,1675922640
100,1672123209,1675923863
101,1672123586,1675925094
102,1672123963,1675926318
103,1672124340,1675927540
104,1672124718,1675928761
105,1672125094,1675929990
106,1672125471,1675931213
107,1672125848,1675932438
108,1672126225,1675933661
109,1672126603,1675934887
110,1672126982,1675936103
111,1672127362,1675937325
112,1672127739,1675938544
113,1672128117,1675939765
114,1672128495,1675940989
115,1672128874,1675942213
116,1672129252,1675943435
117,1672129628,1675944661
118,1672130007,1675945889
119,1672130387,1675947114
120,1672130766,1675948339
121,1672131145,1675949565
122,1672131524,1675950786
123,1672131902,1675952008
124,1672132281,1675953228
125,1672132659,1675954458
126,1672133037,1675955681
127,1672133415,1675956904
128,1672133792,1675958125
129,1672134170,1675959356
130,1672134547,1675960579
131,1672134927,1675961801
132,1672135306,1675963021
133,1672135685,1675964243
134,1672136064,1675965466
135,1672136442,1675966695
136,1672136819,1675967914
137,1672137197,1675969145
138,1672137575,1675970369
139,1672137953,1675971594
140,1672138331,1675972819
141,1672138710,1675974046
142,1672139088,1675975273
143,1672139466,1675976503
144,1672139842,1675977733
145,1672140220,1675978962
146,1672140599,1675980186
147,1672140976,1675981411
148,1672141354,1675982634
149,1672141733,1675983859
150,1672142112,1675985081
151,1672142489,1675986301
152,1672142868,1675987519
153,1672143245,1675988751
154,1672143623,1675989977
155,1672144000,1675991201
156,1672144379,1675992426
157,1672144757,1675993649
158,1672145137,1675994870
159,1672145515,1675996095
160,1672145891,1675997318
161,1672146269,1675998544
162,1672146648,1675999768
163,1672147025,1676000994
164,1672147402,1676002218
165,1672147781,1676003437
166,1672148159,1676004658
167,1672148536,1676005879
168,1672148913,1676007102
169,1672149291,1676008326
170,1672149668,1676009557
171,1672150046,1676010778
172,1672150424,1676012003
173,1672150803,1676013233
174,1672151181,1676014461
175,1672151560,1676015684
176,1672151938,1676016912
177,1672152317,1676018134
178,1672152695,1676019357
179,1672153074,1676020583
180,1672153452,1676021813
181,1672153831,1676023035
182,1672154208,1676024257
183,1672154587,1676025478
184,1672154967,1676026700
185,1672155344,1676027929
186,1672155722,1676029158
187,1672156099,1676030385
188,1672156476,1676031613
189,1672156852,1676032844
190,1672157231,1676034064
191,1672157608,1676035289
192,1672157986,1676036518
193,1672158364,1676037742
194,1672158742,1676038970
195,1672159120,1676040195
196,1672159498,1676041421
197,1672159876,1676042643
198,1672160254,1676043871
199,1672160630,1676045093
200,1672161008,1676046313
201,1672161387,1676047535
202,1672161764,1676048769
203,1672162141,1676049997
204,1672162520,1676051221
205,1672162897,1676052444
206,1672163275,1676053666
207,1672163653,1676054890
208,1672164031,1676056115
209,1672164408,1676057338
210,1672164785,1676058560
211,1672165162,1676059790
212,1672165541,1676061013
213,1672165918,1676062237
214,1672166295,1676063469
215,1672166673,1676064700
216,1672167051,1676065925
217,1672167429,1676067158
218,1672167807,1676068391
219,1672168185,1676069617
220,1672168562,1676070842
221,1672168939,1676072065
222,1672169318,1676073296
223,1672169693,1676074520
224,1672170071,1676075756
225,1672170448,1676076985
226,1672170824,1676078213
227,1672171203,1676079446
228,1672171578,1676080669
229,1672171957,1676081898
230,1672172334,1676083126
231,1672172710,1676084357
232,1672173087,1676085581
233,1672173464,1676086811
234,1672173840,1676088030
235,1672174218,1676089252
236,1672174595,1676090476
237,1672174973,1676091695
238,1672175350,1676092915
239,1672175728,1676094145
240,1672176107,1676095367
241,1672176485,1676096586
242,1672176863,1676097815
243,1672177241,1676099037
244,1672177617,1676100267
245,1672177994,1676101491
246,1672178370,1676102720
247,1672178748,1676103947
248,1672179125,1676105176
249,1672179500,1676106397
250,1672179876,1676107619
251,1672180254,1676108845
252,1672180630,1676110068
253,1672181008,1676111291
254,1672181384,1676112514
255,1672181762,1676113741
256,1672182138,1676114968
257,1672182516,1676116188
258,1672182893,1676117418
259,1672183269,1676118647
260,1672183646,1676119869
261,1672184022,1676121089
262,1672184398,1676122309
263,1672184776,1676123528
264,1672185154,1676124749
265,1672185533,1676125970
266,1672185911,1676127192
267,1672186289,1676128420
268,1672186665,1676129649
269,1672187042,1676130872
270,1672187419,1676132097
271,1672187797,1676133318
272,1672188174,1676134547
273,1672188553,1676135766
274,1672188929,1676136993
275,1672189306,1676138215
276,1672189683,1676139435
277,1672190062,1676140658
278,1672190439,1676141879
279,1672190817,1676143099
280,1672191194,1676144324
281,1672191572,1676145547
282,1672191948,1676146773
283,1672192325,1676148003
284,1672192702,1676149222
285,1672193076,1676150445
286,1672193452,1676151671
287,1672193827,1676152896
288,1672194276,1676154120
289,1672194731,1676155340
290,1672195188,1676156564
291,1672195642,1676157792
292,1672196097,1676159013
293,1672196551,1676160231
294,1672197006,1676161452
295,1672197461,1676162672
296,1672197915,1676163890
297,1672198370,1676165118
298,1672198825,1676166348
299,1672199283,1676167572
